Anarchism	אנרכיזם
Derby Cathedral	קתדרלת דרבי
Singular value decomposition	פירוק לערכים סינגולריים
Meringue	מקצפת
Educating Rita	לחנך את ריטה
DSV Alvin	DSV Alvin
A.I. Artificial Intelligence	אינטליגנציה מלאכותית
Mike Dirnt	מייק דירנט
Kiss	קיס
Gene Simmons	ג'ין סימונס
Defamiliarization	הזרה
Debbie Does Dallas	דבי עושה את דאלאס
Thrilla in Manila	Thrilla in Manila
Negev	הנגב
Alnwick Castle	טירת אניק
German Confederation	הקונפדרציה הגרמנית
Austro-Prussian War	מלחמת אוסטריה-פרוסיה
Nidaros Cathedral	קתדרלת נידארוס
1st Duke of Marlborough John Churchill	הדוכס הראשון ממרלבורו ג'ון צ'רצ'יל
Ace	אס
Blenheim Palace	ארמון בלנהיים
Battle of Cambrai	קרב קמברה
Dublin Trinity College	טריניטי קולג'
Acura	אקורה
The Masque of the Red Death	מסיכת המוות האדום
Groundhog Day	לקום אתמול בבוקר
Chess Olympiad	אולימפיאדת השחמט
Messier 100	M100
Stained glass	ויטראז'
Milan Vidmar	מילן וידמר
Electrology	אפילציה
Angra Mainyu	אהרימן
Rupert Sheldrake	רופרט שלדרייק
Session layer	שכבת השיחה של מודל ה-OSI
Quiz Show	חידון האשליות
Apollo 13	אפולו 13
Babe	בייב
Il Postino: The Postman	הדוור
Herpetology	הרפטולוגיה
Sense and Sensibility	על תבונה ורגישות
Fargo	פארגו
Homology	הומולוגיה
Homology	הומולוגיה
Jerry Maguire	ג'רי מגווייר
Climatology	קלימטולוגיה
Shine	ניצוצות
Hypermetamorphosis	על-גלגול
As Good as It Gets	הכי טוב שיש
The Full Monty	ללכת עד הסוף
Good Will Hunting	סיפורו של ויל האנטינג
L.A. Confidential	סודות אל איי
Elizabeth	אליזבת
Life Is Beautiful	החיים יפים
Farce	פארסה
The Thin Red Line	הקו האדום
The Insider	המקור
Plantation	מטע
Gosford Park	פארק גוספורד
Massimo Troisi	מאסימו טרואיזי
Moulin Rouge!	מולן רוז'
Harmonic series	הסדרה ההרמונית
Gershom ben Judah	רבנו גרשום
Yeshiva	ישיבה
Magical Mystery Tour	Magical Mystery Tour
The Notorious B.I.G.	הנוטוריוס בי. איי. ג'י.
Dojo	דוג'ו
Yeshivish	עגה חרדית
Penny Lane	Penny Lane
Yinglish	יינגליש
Jeff Bezos	ג'ף בזוס
Kollel	כולל אברכים
Yellow Submarine	צוללת צהובה
Electron hole	חור
Hole	הול
Mos Def	מוס דף
Jomo Kenyatta International Airport	נמל התעופה הבינלאומי ג'ומו קניאטה
Lucy Liu	לוסי לו
Peritonitis	דלקת הצפק
Yo-Yo Ma	יו-יו מה
RDRAM	RDRAM
Christian Morgenstern	כריסטיאן מורגנשטרן
Misotheism	מיזותאיזם
Domestication	ביות
Thomas Tollemache	תומאס טולמאץ'
William Godwin	ויליאם גודווין
Kernel	גרעין
1st Earl Haig Douglas Haig	דאגלס הייג
Bridge of Sighs	גשר האנחות
Infinite set	קבוצה אינסופית
Goy	גוי
Disinformation	דיסאינפורמציה
Lily Tomlin	לילי טומלין
Torah study	תלמוד תורה
Flag of Austria	דגל אוסטריה
Flag of Alabama	דגל אלבמה
Emirates	אמירטס
Kazoo	קאזו
Ferdinand Marcos	פרדיננד מרקוס
Golden Globe Award	פרס גלובוס הזהב
Ein Yaakov	עין יעקב
Aleinu	עלינו לשבח
World war	מלחמת עולם
Vivien Merchant	ויוויאן מרצ'נט
Membranophone	ממברנופוניים
Chordophone	כלי קורדופוני
Aerophone	אירופוניים
Pied Piper of Hamelin	החלילן מהמלין
Interceptor aircraft	מטוס יירוט
John Xiphilinus	יואנס קסיפילינוס
Delta wing	כנף דלתא
George Akropolites	גאורגיוס אקרופוליטיס
Vespa	וספה
Idiophone	אידיופוניים
Gas chamber	תא גזים
Franz Danzi	פראנץ דאנצי
Web directory	מדריך אתרים
Pantera	פנטרה
Faith No More	Faith No More
Chester Bennington	צ'סטר בנינגטון
Joe Hahn	ג'ו האן
Naloxone	נרקאן
Placebo	אפקט פלצבו
Alberta Red Deer	רד דיר
Stone tool	כלי אבן
Narcissus	נרקיס
Ferret	חמוס
Musar movement	תנועת המוסר
Zalman Schachter-Shalomi	זלמן שחטר-שלומי
Magpie	עקעק
The Wonder Years	שנות הקסם
Grease	גריז
Sea turtle	צבי ים
Creativity	יצירתיות
Joseph Marie Jacquard	ג'וזף מרי ג'אקארד
Cowboys from Hell	Cowboys From Hell
Sonderkommando	זונדרקומנדו
Naples	נאפולי
Definitely Maybe	Definitely Maybe
IBM DB2	DB2
Pyotr Bagration	פיוטר בגרטיון
Nicéphore Niépce	ניספור נייפס
Henry George	הנרי ג'ורג'
Argyll and Bute	ארגייל וביוט
West Sussex	מערב סאסקס
Caledonia	קלדוניה
Provinces of Ireland	פרובינציות אירלנד
Saint Anne	אנה הקדושה
Jackie Gleason	ג'קי גליסון
Gujarati language	גוג'ראטית
Ethylene glycol	אתילן גליקול
Leprechaun	לפרקון
Manual of Style/Layout	ויקיפדיה:עריכה טכנית
Parity	מספר זוגי
Jewish exodus from Arab and Muslim countries	פליטים יהודים ממדינות ערב
Counterexample	דוגמה נגדית
Nino Rota	נינו רוטה
Gadsden Purchase	רכישת גדסדן
The Breeders	הברידרז
Anastasio Somoza	אנסטסיו סומוסה
I Am the Walrus	I Am the Walrus
Strawberry Fields Forever	Strawberry Fields Forever
Sparkling wine	יין נתזים
Lucy in the Sky with Diamonds	Lucy in the Sky with Diamonds
Blank	בלנק
Yesterday	Yesterday
2112	2112
The Beatles Anthology	The Beatles Anthology
Coaching	אימון אישי
William Bainbridge	ויליאם ביינברידג'
Twelve-tone technique	שיטת שנים-עשר הטונים
Gallic Wars	מלחמת גאליה
Brian Friel	בריאן פריל
Gospel of Thomas	הבשורה על פי תומאס
The War of the Worlds	מלחמת העולמות
Jeff Wayne's Musical Version of The War of the Worlds	מלחמת העולמות
Take Off Your Pants and Jacket	Take off Your Pants and Jacket
Enema of the State	Enema of the State
Real Sociedad	ריאל סוסיאדד
Jean Froissart	ז'אן פרואסאר
John Vanbrugh	ג'ון ואנברו
Nevermind	Nevermind
Duchess of Marlborough Sarah Churchill	הדוכסית ממרלבורו שרה צ'רצ'יל
InfiniBand	InfiniBand
PCI Express	PCI Express
Zeno of Elea	זנון מאליאה
Samuel Baker	סמואל בייקר
Celestial navigation	ניווט אסטרונומי
Medical ultrasound	בדיקת אולטרה סאונד רפואית
Leviathan	לווייתן
Juan Ponce de León	חואן פונסה דה ליאון
Culture hero	גיבור תרבות
Fountain of Youth	מעיין הנעורים
Harbin	חרבין
Ted Bundy	טד בנדי
Moloch	מולך
A Day in the Life	A Day in the Life
Stereographic projection	הטלה סטריאוגרפית
Angel	אנג'ל
John Reed	ג'ון ריד
Live Aid	לייב אייד
Province of Cádiz	מחוז קדיס
Province of Castellón	מחוז קאסטיון
Province of Tarragona	מחוז טרגונה
Province of Girona	מחוז ז'ירונה
Tuber	פקעת
Microsoft Notepad	פנקס רשימות
Indie rock	אינדי רוק
Raclette	רקלט
West Highland Way	וסט היילנד ויי
Green fluorescent protein	חלבון פלואורסצנטי ירוק
Whiskey Rebellion	מרד הוויסקי
The Larry Sanders Show	המופע של לארי סנדרס
Finnish sauna	סאונה פינית
1952 Winter Olympics	אולימפיאדת אוסלו
Alexander Borodin	אלכסנדר בורודין
Borodin	בורודין
Deferent and epicycle	אפיציקל
Orontes River	אורונטס
Spain Cáceres	קסרס
Wembley Stadium	אצטדיון ומבלי הישן
IBM 650	IBM 650
Elongation	אלונגציה
William Chambers	ויליאם צ'יימברס
Vacuum flask	תרמוס
Orbital period	זמן הקפה
Ardennes	ארדנים
Mily Balakirev	מילי באלאקירב
Violent Femmes	Violent Femmes
EFL Trophy	פרס הפוטבול ליג
Powys	פוויס
Albert II of Belgium	מלך הבלגים אלברט השני
Lake District	אזור האגמים
North Yorkshire	צפון יורקשייר
Ira Levin	איירה לוין
Hawke's Bay Region	הוקס ביי
Abraham ibn Ezra	אברהם אבן עזרא
Jonathan Archer	ג'ונתן ארצ'ר
Tears	דמעות
The Fifth Element	האלמנט החמישי
César Cui	צזאר קואי
First Opium War	מלחמת האופיום הראשונה
Duke Nukem Forever	דיוק ניוקם לנצח
Hapag-Lloyd Flug	האפאג לויד פלוג
Pudú	פודו
Space	מרווח
Traffic enforcement camera	מכמונת מהירות
Moselle	מוזל
Cosmopolitan	קוסמופוליטן
Vexillology	וקסילולוגיה
Albert Ballin	אלברט באלין
Xiamen	שיאמן
Humber	האמבר
Reindeer	אייל הצפון
Old World	העולם הישן
Fulham	פולהאם
Daniel Quinn	דניאל קווין
Katherine Pulaski	קת'רין פולאסקי
Ænima	אנימה
Eddie Izzard	אדי איזרד
Genocide Convention	אמנת האו"ם בדבר מניעת רצח עם
Instrumental rock	רוק אינסטרומנטלי
Zaphod Beeblebrox	זאפוד ביבלברוקס
Total quality management	ניהול איכות כוללני
Arms of Canada	סמל קנדה
Ja Rule	ג'ה רול
Kish	כיש
Samson Raphael Hirsch	רש"ר הירש
Samuel Holdheim	שמואל הולדהיים
Emilio Aguinaldo	אמיליו אגינלדו
Alice Liddell	אליס לידל
Henry Liddell	הנרי ג'ורג' לידל
Happening	הפנינג
Fluorescent lamp	נורה פלואורסצנטית
Les Six	קבוצת השישה
Precision agriculture	חקלאות מדייקת
1st Baronet Sir Henry Rawlinson	הנרי רולינסון
County Tipperary	טיפררי
George Rawlinson	ג'ורג' רולינסון
Eminent domain	הפקעה
Tyne and Wear	טיין אנד ויר
Lucius Verus	לוקיוס ורוס
H. Haldeman	בוב הולדמן
Vladimir Horowitz	ולדימיר הורוביץ
Jerusalem syndrome	סינדרום ירושלים
Magic realism	ריאליזם קסום
Gallium arsenide	גליום ארסניד
Miscarriage	הפלה טבעית
Kevin Costner	קווין קוסטנר
Battle of Shiloh	קרב שילה
Guardians of the Universe	שומרי היקום
Tunis–Carthage International Airport	נמל התעופה הבינלאומי תוניס-קרתגו
Philip the Arab	פיליפוס הערבי
Gallic Empire	האימפריה הגאלית
Gwen Stacy	גוון סטייסי
Christina Aguilera	כריסטינה אגילרה
Breaking wheel	גלגל שבירה
Koko	קוקו
Spark plug	מצת
Chris Farley	כריס פארלי
Wildlife	חיית בר
Galliformes	תרנגולאים
Province of Benevento	בנוונטו
Jonathan Pryce	ג'ונתן פרייס
Justice Society of America	חברת הצדק של אמריקה
Voyager Golden Record	תקליט הזהב של וויאג'ר
Bahya ibn Paquda	בחיי אבן פקודה
Category	קטגוריה
Germaine Tailleferre	ז'רמן טאייפר
Baldwin I of Jerusalem	מלך ירושלים בלדווין הראשון
Baldwin I	בלדווין הראשון
Klemens von Metternich	קלמנס ונצל פון מטרניך
Georges Auric	ז'ורז' אוריק
Austen Henry Layard	אוסטן הנרי לייארד
Bullpup	בולפאפ
Lee–Enfield	לי אנפילד
Hormuzd Rassam	הורמוזד רסאם
Lagash	לגש
Simpsons Roasting on an Open Fire	Simpsons Roasting on an Open Fire
Francis Poulenc	פרנסיס פולנק
Giza	גיזה
Ramesses III	רעמסס השלישי
Sub Pop	סאב פופ
Nilpotent group	חבורה נילפוטנטית
History of the Constitution of the United Kingdom	היסטוריה של החוקה הבריטית
Mammon	ממון
Finnair	פינאייר
Firth of Forth	לשון הים של פורת'
Active transport	הובלה פעילה
Provinces of Sweden	חלוקה מנהלית של שוודיה
His Master's Voice	HMV
Psychological warfare	לוחמה פסיכולוגית
Swiss Guard	המשמר השווייצרי
Counterculture	תרבות הנגד
Bhopal disaster	אסון בופאל
MAN SE	מאן
Ground zero	גראונד זירו
Riemannian manifold	מטריקה רימנית
Louis Durey	לואי דורה
Edinburgh Festival	פסטיבל אדינבורו
Man-in-the-middle attack	התקפת אדם באמצע
Baldwin III of Jerusalem	מלך ירושלים בלדווין השלישי
Baldwin IV of Jerusalem	מלך ירושלים בלדווין הרביעי
Baldwin V of Jerusalem	מלך ירושלים בלדווין החמישי
Greenwood	גרינווד
Sullivan	סאליבן
Mao	מאו
There ain't no such thing as a free lunch	אין ארוחות חינם
Sidonius Apollinaris	סידוניוס אפולינאריס
SAT	SAT
Donatism	דונאטיזם
Claudian	קלאודיאנוס
Tactical High Energy Laser	נאוטילוס
EDonkey2000	EDonkey2000
Russian Blue	חתול רוסי כחול
Denying the antecedent	הכחשת הפותח
Yin and yang	יין-יאנג
Brandy Norwood	ברנדי נורווד
Jovian	יוביאנוס
Steve McQueen	סטיב מקווין
I Love Lucy	לוסי אהובתי
Bonfire	מדורה
Manuel I of Portugal	מלך פורטוגל מנואל הראשון
Sinéad O'Connor	שינייד או'קונור
Dashiell Hammett	דשיל האמט
Pinkerton	פינקרטון
Tendon	גיד
Apache Subversion	Apache Subversion
Erle Stanley Gardner	ארל סטנלי גרדנר
Mickey Spillane	מיקי ספיליין
Glynis Johns	גליניס ג'ונס
Joan Greenwood	ג'ואן גרינווד
Thyroxine	תירוקסין
Capitoline Hill	גבעת הקפיטולין
Jackie Chan	ג'קי צ'אן
Longitudinal wave	גל אורך
Simon Rattle	סיימון ראטל
Universal joint	מפרק אוניברסלי
Flag of Japan	דגל יפן
Inverness	אינוורנס
Meteora	מטאורה
Augustinians	אוגוסטינים
EFL Cup	גביע הפוטבול ליג
Jeannette Rankin	ג'נט רנקין
Sintering	סינטור
Spray drying	ייבוש בריסוס
Conservation of mass	חוק שימור החומר
Paul Broca	פול ברוקה
Walter Huston	וולטר יוסטון
Gulf of California	מפרץ קליפורניה
Dalmatian language	דלמטית
Schism	הפילוג הגדול
Blacksmith	נפח
Motor vehicle	כלי רכב מנועי
The Twelve Apostles	שנים-עשר השליחים
Algorithmic efficiency	יעילות אלגוריתמית
Dedekind domain	חוג דדקינד
Ionic Greek	יוונית איונית
Ukrainians	אוקראינים
Atropine	אטרופין
Parallel computing	עיבוד מקבילי
Onomastics	אונומסטיקה
Masaaki Hatsumi	מאסאקי האצומי
Norfolk Sandringham	סאנדרינגהאם
East Frisian Islands	איי פריזיה המזרחית
Aranjuez	ארנחואס
Quack Pack	דונלד דאק וצוות קוואק
Marmalade	מרמלדה
Ocarina	אוקרינה
Yves Saint Laurent	איב סן-לורן
Limnology	לימנולוגיה
Fozzie Bear	פוזי הדוב
Swarthmore College	מכללת סווארת'מור
Turkey Batman	בטמן
György Ligeti	ג'רג' ליגטי
Spectre	הספקטר
Air gun	רובה אוויר
Torquay	טורקי
Ems	אמס
Famagusta	פמגוסטה
Transaction cost	עלות עסקה
Wartburg	וארטבורג
Subrahmanyan Chandrasekhar	סוברהמניאן צ'נדראסקאר
Isabelle Huppert	איזבל הופר
Wulfhere of Mercia	מלך מרסיה וולפיר
Jericho	יריחו
Marlene Dietrich	מרלן דיטריך
